stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
2,3988,3928,2048,0.177222222,102,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
2,3988,3928,2049,0.175277778,103,9999,9999,F,R,0,220,0.5,9999,0,0,1,D,9999,SD,53,1
2,3988,3928,2049,0.175277778,103,0.772,1,R,R,1,220,0.5,1343,0,0,1,K,1,SD,53,2
2,3988,3928,2049,0.175277778,103,9999,9999,F,R,0,221,0.5,9999,0,0,1,D,9999,SD,53,1
2,3988,3928,2049,0.175277778,103,0.275,1,R,R,1,221,0.5,139,0,0,1,K,1,SD,53,2
2,3988,3928,2050,0.070833333,103,9999,9999,9999,9999,9999,9999,0.5,9999,0,1,1,9999,9999,SD,53,0
2,3988,3928,2051,0.108055556,103,9999,9999,9999,9999,9999,9999,0.5,9999,1,1,2,9999,9999,SD,53,0
2,3988,3928,2052,0.332222222,103,9999,9999,9999,9999,9999,9999,0.5,9999,2,1,2,9999,9999,SD,53,0
2,3988,3928,2053,0.189722222,104,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,3,9999,9999,SD,53,0
2,3988,3928,2054,0.197222222,104,9999,9999,9999,9999,9999,9999,0.5,9999,2,1,3,9999,9999,SD,53,0
2,3988,3928,2055,0.1775,104,9999,9999,9999,9999,9999,9999,0.5,9999,3,1,3,9999,9999,SD,53,0
2,3988,3928,2056,0.226666667,106,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
2,3988,3928,2057,0.242222222,107,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
2,3988,3928,2058,0.273055556,108,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
2,3988,3928,2059,0.361944444,109,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
2,3988,3928,2060,0.105,110,9999,9999,F,L,0,227,0.5,9999,1,0,1,P,9999,SD,53,1
2,3988,3928,2060,0.105,110,0.094,1,R,L,1,227,0.5,135,1,0,1,H,1,SD,53,2
2,3988,3928,2061,0.28,110,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
2,3988,3928,2062,0.076666667,111,0.7,1,F,R,1,229,0.5,0,1,0,3,D,1,SD,53,1
2,3988,3928,2062,0.076666667,111,9999,9999,R,R,0,229,0.5,9999,1,0,3,K,9999,SD,53,2
2,3988,3928,2062,0.076666667,111,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,3,9999,9999,SD,53,0
2,3988,3928,2063,0.090833333,111,0.72,1,F,R,1,228,0.5,335,1,0,3,D,1,SD,53,1
