"D" "g0" "sigma" "no3s"
0.190980193882 0.999999621998 1165.2935171 0
0.144201971475 0.999999490955 1349.22260436 1
0.158266484918 0.999999776403 1250.90044586 0
0.173859004415 0.999999771278 1234.07385848 0
0.180848214182 0.999999647977 1177.00078762 0
0.164231035993 0.959873289822 1262.10844842 0
0.169314747778 0.999999818999 1263.30999182 0
0.175697504323 0.999999674572 1190.31757133 0
0.189254309446 0.999998801478 1183.86902326 1
0.135386871158 0.999999638225 1335.07402805 2
0.156640505566 0.999996675935 1269.24726471 0
0.159384235254 0.836961589377 1393.26573541 2
0.181600916527 0.897013573687 1318.59606927 1
0.16939438352 0.993427773777 1242.0249866 2
0.168125785516 0.731491818553 1457.05965184 3
0.177825033032 0.999999822041 1267.46935534 0
0.168528663802 0.999999403332 1228.06942504 1
0.176298493026 0.999999573627 1238.66607148 1
0.152759115912 0.728409141978 1492.24189945 3
0.163999210878 0.890135508256 1326.09244196 1
0.181516414122 0.708259870858 1379.18707127 1
0.176118138961 0.99999935199 1126.30507866 0
0.163103713868 0.999999831317 1272.46844607 0
0.159186764881 0.999999548874 1248.44919062 1
0.164572557804 0.999999740862 1224.42407517 0
0.165378051253 0.999999366841 1226.14593736 1
0.155030546178 0.999999797229 1346.02103499 2
0.179769046316 0.669514562059 1442.75544977 0
0.167906055171 0.99999845081 1267.83175431 0
0.166667261658 0.999999801932 1249.69515442 0
0.150459141812 0.734320498384 1513.52275812 5
0.164170235739 0.99999970032 1265.91377111 1
0.200398024841 0.952841376853 1244.03749146 0
0.192214821837 0.999999544668 1151.67282781 0
0.158087603008 0.999999746259 1222.89242995 0
0.169048701149 0.999999620386 1251.12829589 1
0.186494661936 0.816998935482 1340.20221188 1
0.132750156423 0.999999891443 1406.6572416 1
0.185901283256 0.999999724628 1213.38472816 0
0.152087988314 0.999999560173 1293.18166955 2
0.17927193674 0.6258981215 1481.5122396 2
0.180455995702 0.999999644965 1186.60478259 0
0.167708728016 0.999999614345 1253.59645186 1
0.141702111711 0.946120572892 1425.42232182 3
0.153308823414 0.908412429356 1334.89505243 1
0.170088454987 0.999999527917 1231.5906045 1
0.163175664092 0.999999724797 1214.69919116 0
0.185438316369 0.647246112517 1517.97179928 2
0.1382669923 0.863064812421 1417.57205795 0
0.166844144056 0.999999749961 1223.29069896 0
0.192698959012 0.999999596039 1159.25068213 0
0.18071456942 0.831426006666 1335.689849 1
0.181121698195 0.999999667762 1184.06632486 0
0.187878718694 0.999999121453 1192.00882082 1
0.173696557138 0.978969060343 1254.66553792 0
0.168424280078 0.99999977658 1290.40934122 1
0.176790666551 0.896831616198 1265.31587685 2
0.165639558181 0.99999604598 1266.12742298 0
0.154771353511 0.725886969794 1455.0868249 2
0.161369786977 0.999999796708 1350.09285976 0
0.164160611216 0.999999679684 1264.24571939 1
0.174820015131 0.991660239012 1233.68403523 2
0.179787193466 0.618737389424 1543.96644375 0
0.18107117028 0.999999518782 1146.71265009 0
0.165002705943 0.933269018304 1267.64926324 0
0.154285660359 0.999999827897 1356.81106203 2
0.160448667685 0.999999288875 1288.22207843 0
0.128008136868 0.999999847588 1441.15114712 1
0.187183480937 0.79413255692 1337.6908732 1
0.182048482955 0.935111447798 1251.05780899 2
0.205067579029 0.854863081551 1249.06116264 2
0.168763209518 0.999999730864 1230.46385319 0
0.192842647406 0.782310866607 1280.94409699 0
0.180173738151 0.999999123067 1194.16251492 1
0.156677838481 0.993471510023 1319.34887005 1
