"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC"
5677.61661174 171.73617325 -2.96017343684 6.49803606231 -3025.35 6058.7
5163.88928773 172.204592209 -2.87503726502 6.2142556446 -3011.07 6030.14
5522.19123127 173.357289946 -3.14327939934 6.69258768921 -3066.55 6141.1
5474.94163916 173.411448107 -3.23257271491 6.02894856454 -2799.5 5607
5081.07107869 173.50454791 -3.17957592297 5.85406096047 -2703.82 5415.64
4942.8491218 172.156568246 -2.96766337052 6.54813018435 -2755.68 5519.36
5642.57302104 172.74600241 -3.00342457263 6.27846746458 -3153.75 6315.5
5788.15457368 173.256493523 -3.23912840902 5.98775076157 -2873.49 5754.98
4762.06483662 173.620844316 -3.03616925181 5.83586655027 -2810.21 5628.42
5465.06047779 172.574868955 -2.98058896312 5.96379492231 -3031.98 6071.96
5375.39740476 172.907345951 -3.12407912301 6.36452421528 -2902.1 5812.2
5152.47520759 172.201378627 -2.91466452593 5.93974969162 -2846.29 5700.58
5220.72086824 172.671600349 -2.98610125197 5.75518539359 -2868.41 5744.82
6049.63153352 173.102225058 -3.18214703271 6.67788416305 -3192.69 6393.38
5449.05852953 173.732145205 -3.18661714282 6.05987059034 -2863.05 5734.1
5207.77408923 173.130258271 -3.10168270268 6.39012778745 -2873.48 5754.96
5214.341538 173.117200654 -3.13792703598 6.63705870489 -2890.77 5789.54
5121.49998297 172.649924495 -2.9862823256 6.32511683289 -2895.3 5798.6
5137.25275175 171.498278271 -2.85918631152 5.69358722262 -2775.73 5559.46
5309.21140428 172.814656034 -3.0853396774 6.57189684525 -2891.51 5791.02
5891.21989212 174.463507414 -3.30931980891 5.86690324376 -3059.45 6126.9
5649.86563642 173.642465767 -3.20349378849 6.31984227673 -3059.46 6126.92
