"D" "shape1" "shape2" "scale" "logLik" "AIC"
5446.94156352 2.41020737478 2.14093090209 -0.175997834114 -1105.31 2218.62
5053.76799316 94.3300225676 4.57289850978 -0.00355054982884 -967.971 1943.942
5194.31962977 136.103472971 4.9334158282 -0.00261254430109 -1059.61 2127.22
5002.1850128 2.55039071683 2.28501847929 -0.179549017765 -1044.2 2096.4
5017.52413837 4.99601941154 2.10724134578 -0.0675968716525 -1022.31 2052.62
4625.61882189 2.37857614051 2.09017379086 -0.163132912178 -1023.06 2054.12
4771.24156834 4.67691647951 2.08211503545 -0.0750962723418 -925.778 1859.556
5664.22352467 3.18129695913 2.18584321592 -0.147427001017 -1019.9 2047.8
5288.92150248 71.0762865842 4.30933088396 -0.00608679321472 -1003.76 2015.52
5083.21152137 2.85221440308 2.28889165712 -0.172217541113 -969.296 1946.592
5069.22251652 150.61781295 5.0378807303 -0.00310237871745 -948.256 1904.512
5092.84569666 121.700748523 4.82563986233 -0.00315465680995 -1015.51 2039.02
5505.89534037 29.9632776987 3.5042476145 -0.0136434672154 -1096.05 2200.1
4365.82723123 1.94180032922 2.81524257045 -0.277174947796 -1041.14 2090.28
5006.94901691 1.99612277598 3.45230060649 -0.348375698582 -1133.46 2274.92
5416.61012522 8.08923036287 2.40916054349 -0.0426706379466 -1095.21 2198.42
5158.89162074 5.04312198783 2.19430600106 -0.0758665478109 -1048.83 2105.66
5173.2849135 2.89303105864 2.173644373 -0.149019546014 -1050.56 2109.12
5373.57223335 130.229926103 4.89036473776 -0.00290063779895 -999.135 2006.27
4575.02084449 1.99979655792 2.49237590584 -0.247646555536 -1006.14 2020.28
5333.88900106 10.6192434507 2.62443354048 -0.0356589340764 -1019.95 2047.9
4683.3961016 2.26827193434 2.16462528727 -0.177714995992 -1034.25 2076.5
5296.62211977 4.49921689178 2.05248879594 -0.0805280363239 -927.285 1862.57
4978.53673453 163.95162983 5.11396044135 -0.00194270431124 -982.981 1973.962
5671.08077328 2.63726727404 2.07458994586 -0.159684882858 -1063.41 2134.82
5957.29670244 120.65707663 4.8198692557 -0.00368373972669 -1084.37 2176.74
5283.84067578 2.66559325768 2.36016683686 -0.19483664537 -965.766 1939.532
4997.45207063 2.17524319993 2.50716173162 -0.228063174852 -1068.04 2144.08
4546.57172917 1.96448671859 2.67994203459 -0.268679787324 -1015.22 2038.44
4845.13174536 6.7199365463 2.33708163254 -0.0558136165299 -993.432 1994.864
