"D" "sigma" "logLik" "AIC"
5544.92552547 5.26217800447 -1083.86 2171.72
4839.60897749 5.25998940024 -950.058 1904.116
4383.23929416 5.65991687069 -996.227 1996.454
4577.5978041 5.51596510668 -982.863 1969.726
5020.76792496 5.5965491086 -1109.2 2222.4
5314.76254295 5.23359712244 -1037.68 2079.36
4830.73993282 5.40379979371 -982.787 1969.574
5027.73462213 5.63359726367 -1122.58 2249.16
5152.4616497 5.197627821 -990.005 1984.01
5177.73162969 5.26614883862 -1017.15 2038.3
5552.85547535 5.3862636731 -1124.03 2252.06
5393.03005231 5.29390966708 -1070.57 2145.14
4999.46366662 5.28663896337 -993.715 1991.43
5172.82705345 5.46090954189 -1112.43 2228.86
4982.03721197 5.25499437699 -974.988 1953.976
5340.27111532 5.48409203851 -1156.99 2317.98
4569.04395031 5.47579876901 -982.967 1969.934
5371.62712727 5.44154630898 -1115 2234
5028.27414299 5.20987035001 -968.316 1940.632
5452.40623594 5.22268848748 -1058.43 2120.86
5045.03190039 5.34096886417 -1027.96 2059.92
5083.87047431 5.36659792988 -1040.93 2085.86
4679.7340657 5.47838731537 -994.538 1993.076
5202.59000925 5.61519577538 -1149.93 2303.86
4494.13018201 5.4910254355 -963.377 1930.754
4865.71529424 5.27448855119 -959.893 1923.786
5554.80618494 5.345361006 -1120.31 2244.62
4764.98152559 5.59143775046 -1045.53 2095.06
4996.81218193 5.48606914839 -1063.64 2131.28
5790.91802955 5.15262611638 -1101.49 2206.98
4696.57578537 5.44155219518 -972.738 1949.476
4841.98727894 5.61815951086 -1082.54 2169.08
5167.63907444 5.57949481007 -1140.31 2284.62
4941.75722023 5.42974369852 -1023.56 2051.12
5103.07414494 5.39550887624 -1066.22 2136.44
5340.88902391 5.21558894463 -1025.79 2055.58
4942.37348286 5.49521329363 -1072.45 2148.9
4931.96596215 5.41513015681 -1038.58 2081.16
4968.16446922 5.60529360299 -1100.59 2205.18
4767.59415652 5.38487664777 -983.263 1970.526
4820.62810644 5.63535040314 -1091.38 2186.76
4761.85753416 5.64989136984 -1078.58 2161.16
4999.21148459 5.39708488523 -1043.49 2090.98
4902.09302328 5.47138935858 -1034.37 2072.74
4971.2562607 5.52736548725 -1069.98 2143.96
4927.79717355 5.58288130665 -1084.47 2172.94
4817.32045116 5.57155602489 -1058.95 2121.9
4857.23719059 5.43946568585 -1009.81 2023.62
