"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1503.34834637 9.48690031023 178.47 0.56585 -912.56 1829.12 -9.33477e-07
1324.95879204 9.26754396179 172.47 0.61121 -749.902 1503.804 -0.000919273
1097.85507322 10.5578179967 155.93 0.77356 -804.251 1612.502 -2.33818e-05
1589.0019092 9.26647425827 192.61 0.5733 -890.931 1785.862 -1.23323e-07
1406.78618161 9.93725570925 177.37 0.6401 -918.345 1840.69 -2.44118e-05
1299.19631432 10.1685821587 169.26 0.67782 -868.817 1741.634 -2.18351e-07
1362.00413215 9.88964287065 170.3 0.62594 -852.624 1709.248 -0.000291161
897.516272712 11.3638786483 140.48 0.93601 -730.843 1465.686 -9.37819e-07
1437.67913596 9.29286752827 173.79 0.56173 -818.284 1640.568 -1.69432e-06
1454.90421027 8.81110756425 182.14 0.55761 -755.026 1514.052 -2.91099e-08
1320.69840566 9.7227943615 168.56 0.62761 -817.326 1638.652 -4.87376e-05
1718.72244437 8.0256936528 197.18 0.45948 -743.536 1491.072 -0.000111932
1235.16401231 9.82395531647 170.38 0.69685 -786.033 1576.066 -0.00244474
1425.04139555 9.31768739668 171.61 0.55936 -821.299 1646.598 -3.42287e-07
1233.2523911 10.2537961846 167.42 0.71666 -829.277 1662.554 -1.01788e-05
972.334382762 10.6832225261 147.19 0.83727 -735.837 1475.674 -4.12265e-08
1470.49916339 9.02426226025 180.53 0.55814 -798.162 1600.324 -0.00624831
1293.7002459 9.55832849942 169.32 0.63462 -769.732 1543.464 -0.000457952
1170.11666059 10.4950417956 167.85 0.78482 -805.016 1614.032 -3.42754e-07
1409.58787541 9.4027846949 177.94 0.60245 -812.716 1629.432 -5.77502e-06
1510.37447353 9.39267050771 185.16 0.58551 -889.339 1782.678 -2.1807e-06
1271.08911325 9.22862790622 163.36 0.5924 -728.24 1460.48 -6.49404e-06
1363.31548306 9.81148721105 173.92 0.63743 -865.257 1734.514 -0.000207601
1440.01794905 9.23557344956 175.16 0.5629 -833.913 1671.826 -0.000256517
1522.79170303 9.36959467355 179.41 0.55337 -865.563 1735.126 -0.000439228
1267.25981572 10.1419153988 168.57 0.69181 -840.25 1684.5 -0.00126528
1275.30968888 10.0534703704 169.94 0.68708 -841.326 1686.652 -0.000173986
1560.34815681 8.93985370488 187.66 0.54317 -821.434 1646.868 -7.96226e-06
1279.05820245 9.57037639325 170.34 0.64943 -781.32 1566.64 -0.000158022
1363.51917198 9.5902434471 174.07 0.6217 -811.27 1626.54 -5.19094e-08
