"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1646.87742757 159.646526771 2.36016981776 9.29146266954 0.0017075938441 123.68 0.97119 0.091551 0.33341 0.00010087 -1061.43 2132.86 -1.7993e-05
1578.50702927 161.329249401 2.43489230865 9.13120141325 0.00189241173842 120.1 0.9877 0.098041 0.33995 0.00010894 -1022.8 2055.6 -0.00191266
1631.96346995 158.831225172 2.33942088535 9.10784097596 0.00200278392204 126.33 0.98956 0.099385 0.34553 0.00012743 -1046.12 2102.24 -7.75229e-06
1387.08527301 161.02207488 2.43011895208 9.6129828496 0.00175698317006 113.18 1.0754 0.10285 0.36935 0.00010971 -913.863 1837.726 -5.58455e-05
1729.75220347 160.380114019 2.39898942089 8.91198567097 0.00174333246172 125.01 0.88375 0.089009 0.30642 9.3901e-05 -1040.82 2091.64 -1.06474e-05
1619.72704952 159.318447721 2.31178582781 8.55929809122 0.00184894818345 120.29 0.83942 0.085906 0.28896 0.00010255 -937.655 1885.31 -0.000247139
1613.30570662 160.114848439 2.36307801772 9.39611866461 0.00178378354865 120.59 0.94494 0.092455 0.33903 0.00010544 -1067.25 2144.5 -0.000188673
1744.83243343 159.371194153 2.29614765766 8.11421509665 0.00203912890462 127.07 0.87615 0.084646 0.29989 0.00012625 -1085.76 2181.52 -3.42777e-05
1776.45469768 160.411871055 2.35825588635 8.88703001802 0.0018460420026 127.79 0.92154 0.089189 0.3065 0.00010125 -1132.02 2274.04 -4.32342e-05
1718.94917499 159.602346905 2.34624105974 8.92990742029 0.00187929911633 127.54 0.94671 0.090649 0.32832 0.00011028 -1096.45 2202.9 -1.47451e-05
1557.24919251 161.094007296 2.40881483151 9.05172043118 0.00191368787483 117.97 0.98012 0.094123 0.33369 0.0001153 -1017.2 2044.4 -3.27832e-06
1775.17298095 159.909026511 2.42975323226 9.71773170115 0.00193351489264 132.78 1.0314 0.097751 0.36247 0.00012655 -1194.26 2398.52 -2.07206e-05
1663.93212759 160.728534569 2.55741887943 9.56446515186 0.00183242805929 127.65 1.0389 0.10355 0.36152 0.00011334 -1035.04 2080.08 -3.86301e-05
1714.53661787 161.318405197 2.5283787939 9.60859602203 0.00190124355703 127.6 1.0058 0.099524 0.34863 0.00012008 -1127.32 2264.64 -1.58934e-05
1807.47742232 159.898412641 2.43016602545 9.1594721607 0.00177601167661 133.51 0.97776 0.097083 0.33474 0.00010574 -1120.75 2251.5 -3.6741e-06
1729.90872341 159.703402119 2.3967721603 8.50776808236 0.00172118768682 126.56 0.88421 0.087951 0.30854 0.0001016 -1028.57 2067.14 -0.00312942
1751.76120522 160.756930321 2.38126844483 8.56812516749 0.00183669806031 126.47 0.94237 0.090116 0.31529 0.00011103 -1145.64 2301.28 -2.09346e-06
1708.56389322 160.231049602 2.42637343929 9.10065299914 0.00195100068878 128.37 0.99112 0.094613 0.34261 0.00012561 -1108.19 2226.38 -0.000733502
1716.55306368 159.261104708 2.45397385156 9.35564323897 0.00178535171647 131.6 1.0149 0.10284 0.35505 0.00011055 -1053.46 2116.92 -2.30916e-06
1921.31374302 161.092322579 2.53944798504 9.20041413864 0.00186272602343 136.2 0.94268 0.09256 0.32823 0.00010729 -1209.34 2428.68 -5.17141e-05
1898.0612659 160.345265017 2.44530928647 8.57442035726 0.00184610363663 133.68 0.86431 0.085884 0.29217 0.00010865 -1129.02 2268.04 -1.16275e-05
1732.52873081 160.551051558 2.46652857568 9.73281961453 0.00176141239372 130.53 1.0459 0.099788 0.36461 0.00011502 -1160.97 2331.94 -7.51839e-06
1491.77961065 160.205871997 2.3467218144 9.12984659105 0.00177630603559 116.98 0.9984 0.098068 0.34656 0.00010678 -973.771 1957.542 -5.68243e-05
1645.81869562 160.211106588 2.36335056192 9.05445525491 0.00191014363771 122.92 0.93164 0.090812 0.32489 0.00010883 -1079.05 2168.1 -1.20607e-05
1837.68728034 162.753460915 2.65505991683 9.27799677455 0.0020123430422 131.02 0.92234 0.093549 0.31609 0.00011399 -1124.04 2258.08 -1.9728e-05
1395.41976708 158.288778962 2.25967754237 9.61073924408 0.00187830078158 118.12 1.1826 0.10615 0.40691 0.00013406 -970.669 1951.338 -0.000218134
1724.54853848 158.844469961 2.32683136836 9.41997445564 0.00182350295974 127.31 0.95781 0.092275 0.32925 0.00010825 -1118.75 2247.5 -0.000238629
1391.7142618 161.17841679 2.47745635048 8.87205229544 0.00163422921862 113.17 1.0594 0.10467 0.36069 0.00010347 -841.423 1692.846 -2.26402e-05
1459.29948453 158.987647354 2.33204343 9.43274668558 0.00156487817704 118.66 1.1434 0.10641 0.3947 0.00011148 -971.988 1953.976 -3.22454e-05
1648.17411328 160.539967828 2.4322817421 8.68014541256 0.0019140921903 124.49 0.95454 0.094526 0.3244 0.00011224 -1004.43 2018.86 -0.000165406
1672.87018897 161.198290875 2.44701429028 8.78172506069 0.00186049191608 124.72 0.96526 0.09236 0.3298 0.00011361 -1057.25 2124.5 -7.37784e-06
1696.10723658 160.827419208 2.50477980231 8.79846432471 0.00198365571191 128.4 0.99807 0.097085 0.33544 0.0001268 -1029.33 2068.66 -0.000165781
1729.95225242 159.368361843 2.38307963439 9.24264704219 0.00183237924833 127.48 0.92115 0.092984 0.32386 0.00010143 -1073.52 2157.04 -0.000808033
1741.22541388 160.414861258 2.47198454097 8.85694047312 0.00186736026642 129.84 0.98395 0.096385 0.33554 0.00011813 -1072.39 2154.78 -4.07898e-05
1751.72197579 158.358786719 2.29231879119 8.75455337557 0.00173345165999 131.21 0.95289 0.093606 0.32354 0.00010688 -1091.65 2193.3 -9.55253e-05
1524.5114 160.494297231 2.33645768111 9.02587193038 0.00186287607007 117.31 0.97583 0.094685 0.3359 0.00010762 -1010.51 2031.02 -0.00229234
1694.13447074 159.664638694 2.3350254893 9.21181924006 0.00177454058115 124.36 0.95661 0.091894 0.32491 9.9869e-05 -1105.76 2221.52 -0.00035686
1690.92770234 161.719388036 2.68208902108 8.93464438995 0.00199334121986 130.98 1.0405 0.10862 0.35554 0.00013051 -994.314 1998.628 -1.61594e-06
