"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1347.78354904 0.999999988754 10.0235929123 181.49 1.1247e-05 0.70002 -878.484 1762.968 -0.000486213
1448.27771974 0.999999992108 9.48975189857 175.2 7.8929e-06 0.57685 -877.74 1761.48 -0.00100711
1596.11258681 0.999999991755 9.08792585795 185.69 8.2435e-06 0.53022 -884.534 1775.068 -1.36682e-05
1382.80168437 0.999999993574 9.51065365002 167.34 6.4249e-06 0.57314 -816.41 1638.82 -3.26854e-05
1363.3399673 0.999999992962 9.59099098584 166.79 7.0377e-06 0.58608 -838.782 1683.564 -3.2543e-06
1332.18793845 0.999999990268 9.54675455428 171.47 9.7285e-06 0.62279 -803.192 1612.384 -2.01731e-05
1166.82252927 0.999999992765 10.2141092792 157.13 7.2351e-06 0.69959 -804.082 1614.164 -1.22045e-06
1269.65338719 0.999999992111 10.0287731747 166.39 7.8887e-06 0.66961 -831.706 1669.412 -2.94703e-05
1505.70465792 0.99999999349 9.40999857519 171.77 6.5087e-06 0.52976 -890.586 1787.172 -0.000384414
1593.75563627 0.999999991784 9.14021091295 188.62 8.2161e-06 0.54658 -874.831 1755.662 -5.97529e-05
1271.4093112 0.99999999192 9.44442026496 164.83 8.0795e-06 0.61584 -746.201 1498.402 -0.000513066
1424.76455689 0.999999993061 9.74696189661 170.66 6.9392e-06 0.58503 -902.433 1810.866 -2.67411e-05
1428.80436858 0.999999991412 9.39953097559 175.97 8.5882e-06 0.58349 -829.741 1665.482 -1.12739e-05
1293.32543694 0.99999999215 10.0210655618 167.22 7.8529e-06 0.65909 -848.313 1702.626 -0.000500764
1628.94770974 0.999999991886 8.8671770673 189 8.1143e-06 0.51601 -840.338 1686.676 -1.78239e-08
1703.26330497 0.999999988482 8.65273388275 199.55 1.1518e-05 0.5143 -834.356 1674.712 -2.45025e-06
1546.75239323 0.999999992846 9.48274044581 184.37 7.1539e-06 0.57193 -928.473 1862.946 -2.75302e-05
1433.42088327 0.999999991538 9.11439721371 175.09 8.459e-06 0.55731 -800.366 1606.732 -0.000688337
1352.16801099 0.999999992667 9.61302816361 165.7 7.3399e-06 0.58807 -849.294 1704.588 -6.79729e-05
1388.80486664 0.99999999147 9.48621091597 174.49 8.5291e-06 0.60281 -825.299 1656.598 -1.50703e-05
1245.54922643 0.999999991194 9.72208404435 163.35 8.8065e-06 0.64434 -792.211 1590.422 -1.66345e-05
1496.25389173 0.999999990021 8.78547545259 183.31 9.9798e-06 0.54213 -781.48 1568.96 -0.00080731
1155.44510657 0.99999999212 10.4375241839 157.5 7.8808e-06 0.72865 -853.623 1713.246 -3.69376e-06
1494.37476848 0.999999991673 9.10400611283 180.23 8.3272e-06 0.55148 -826.241 1658.482 -0.000381996
1484.29924124 0.999999992632 9.51335344829 177.88 7.3677e-06 0.57376 -910.791 1827.582 -3.68e-06
1534.67161308 0.999999990049 8.79503334051 191.15 9.9515e-06 0.55867 -787.747 1581.494 -1.41886e-05
1381.61044183 0.999999992759 9.99654452082 176.08 7.2434e-06 0.65184 -898.898 1803.796 -0.000697309
1490.22504066 0.999999991909 8.80693501232 177.48 8.0908e-06 0.52118 -771.054 1548.108 -0.000179384
1142.40067423 0.999999993176 10.5347087598 153.58 6.8241e-06 0.7223 -846.728 1699.456 -4.64492e-05
1446.71368368 0.999999992385 9.44873359281 174.88 7.6187e-06 0.57327 -862.286 1730.572 -9.81863e-05
1240.82713119 0.999999991465 9.98274763995 163.86 8.5321e-06 0.67025 -810.478 1626.956 -0.000497204
1501.83376463 0.999999990936 8.76572568295 182.24 9.064e-06 0.53379 -755.658 1517.316 -0.00123167
1450.79797287 0.999999991407 9.02428800287 175.78 8.5928e-06 0.54612 -804.015 1614.03 -0.000664393
1241.12607097 0.999999992261 9.68883620536 159.89 7.7385e-06 0.62575 -757.707 1521.414 -5.73088e-05
1557.35047589 0.99999999128 8.8111478296 186.57 8.72e-06 0.53128 -810.734 1627.468 -3.95972e-05
1208.79141557 0.999999993698 10.6855918532 156.69 6.302e-06 0.70717 -877.136 1760.272 -1.54228e-05
1167.48376828 0.999999990792 10.1281926209 160.29 9.2081e-06 0.71077 -781.118 1568.236 -2.01313e-06
1293.05382051 0.999999990997 9.56116349327 170.04 9.0029e-06 0.63893 -777.408 1560.816 -3.15326e-05
1285.94148801 0.999999991879 10.1052177576 171.47 8.1193e-06 0.69265 -844.922 1695.844 -0.00104062
1343.79573639 0.999999991232 9.77259136192 176.24 8.7698e-06 0.65687 -823.017 1652.034 -0.00032898
1459.68892512 0.999999991351 9.39867420084 180.67 8.6524e-06 0.58992 -844.334 1694.668 -2.55101e-05
1186.87736067 0.999999990902 10.6710303169 165.43 9.0985e-06 0.77347 -857.252 1720.504 -0.000272849
1419.50444648 0.999999992207 9.21709507168 172.74 7.7927e-06 0.56027 -803.333 1612.666 -0.000695732
1201.85685974 0.999999990797 10.4103236294 167.35 9.2033e-06 0.75112 -822.81 1651.62 -2.09134e-05
1332.99103261 0.999999989121 9.44126503902 173.06 1.0879e-05 0.62244 -788.439 1582.878 -0.00168663
1396.13917881 0.999999992783 9.6743901652 170.26 7.2183e-06 0.59224 -859.019 1724.038 -0.000815728
1502.87274087 0.999999992629 9.53387391089 179.22 7.371e-06 0.57262 -901.313 1808.626 -2.72885e-05
1451.98404945 0.999999991288 9.38108446715 179.02 8.7099e-06 0.58492 -859.001 1724.002 -6.87314e-05
