"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
1712.75432715 161.579270345 -2.4676262645 8.76433480734 -2679.33 5366.66 -5.86394e-08
1700.85412953 159.0337554 -2.31371551066 8.81554635582 -2565.77 5139.54 -7.85619e-05
1772.18720962 159.750642263 -2.40600618822 8.96733270561 -2633.28 5274.56 -3.93107e-05
1747.82872605 158.967666316 -2.34568300551 9.48276812059 -2716.02 5440.04 -4.86126e-07
1692.95879423 161.951678607 -2.5699216702 8.79956863346 -2545.12 5098.24 -0.000175192
1603.97503966 156.753382163 -2.09887520299 8.97450593815 -2556.85 5121.7 -3.11589e-05
1621.4487318 159.002286265 -2.36522465158 9.3171366171 -2434.96 4877.92 -5.92756e-05
1645.0124172 161.838026749 -2.37458120865 8.08431005714 -2717.19 5442.38 -9.62422e-05
1828.70711339 160.033214432 -2.38459411328 8.86170532922 -2849.39 5706.78 -0.00104925
1881.70816585 160.562028265 -2.57989309651 9.04679387944 -2697 5402 -3.77768e-05
1839.93711441 156.590448297 -2.26200591077 9.00290639608 -2591.38 5190.76 -8.44948e-06
1741.3910123 158.902896357 -2.28448715506 8.30981467498 -2723.31 5454.62 -0.000788063
1959.51730366 159.621049037 -2.44853171575 9.72010653371 -2857.82 5723.64 -0.000148832
1846.14118606 160.293036411 -2.49940971086 8.89694614729 -2577.86 5163.72 -1.83529e-05
1753.21193588 159.433278749 -2.34140157763 9.59287160346 -2724.9 5457.8 -5.77471e-05
1990.07578307 161.447296625 -2.58722160731 9.13453487587 -3067.85 6143.7 -6.82073e-05
1676.3503241 158.764165103 -2.3025022896 8.7224614405 -2623.38 5254.76 -0.000100554
1626.33991947 158.580775722 -2.32088984527 8.15557825287 -2487.91 4983.82 -1.82473e-05
1747.42360182 158.687984306 -2.28758377564 9.4362158441 -2651.31 5310.62 -4.49781e-05
1627.62777222 158.023722024 -2.31385813665 9.03405999509 -2441.88 4891.76 -2.10044e-05
1984.22353969 160.077310842 -2.570627683 9.55139662948 -2772.47 5552.94 -6.79179e-05
1654.53748634 162.302919546 -2.72791106486 9.12036592144 -2197.53 4403.06 -7.52223e-05
1602.24845704 159.744904106 -2.32605627631 9.59985210243 -2631.79 5271.58 -6.86036e-06
1761.28038793 157.999495706 -2.29440199961 8.71447355763 -2635 5278 -3.57545e-05
1764.7172846 161.15272911 -2.45589859173 8.49920576548 -2612.33 5232.66 -8.94741e-05
1897.97918471 160.79906603 -2.66019780775 8.92832614089 -2385.77 4779.54 -1.32476e-05
1598.79241739 160.584721605 -2.39653518904 9.33897509112 -2593.68 5195.36 -6.89344e-05
1857.85341111 158.177993523 -2.39079566349 8.58389905843 -2597.43 5202.86 -9.10121e-05
1839.25075 160.060254254 -2.46613685852 9.76172827572 -2793.68 5595.36 -1.19832e-05
1970.31052867 159.132288471 -2.41969083104 9.24939019559 -2866.41 5740.82 -3.45069e-05
2036.18460566 162.208514796 -2.7131856317 8.26713033654 -2756 5520 -6.64394e-06
1730.79465904 159.134463579 -2.38072766133 9.07903689743 -2499.47 5006.94 -1.60914e-06
1660.3254819 160.697394834 -2.45790075412 8.90010264135 -2543.45 5094.9 -3.82481e-06
1594.07813594 160.155847123 -2.40978775952 8.79046743044 -2564.91 5137.82 -7.35256e-07
1368.16926377 158.799597728 -2.08013809611 8.37365772136 -2491.8 4991.6 -1.34925e-05
1789.04683271 158.847437079 -2.42225523383 8.21834677004 -2421.55 4851.1 -4.55095e-05
2029.08578636 160.686573609 -2.77652325644 9.23798831682 -2511.9 5031.8 -2.09869e-05
1790.27893628 159.869472238 -2.43934282528 8.13206033357 -2618.37 5244.74 -3.94643e-05
1701.61057625 160.991851208 -2.4394564583 8.76409305678 -2650.23 5308.46 -3.08185e-05
1549.91157807 160.760835065 -2.36903914901 9.40389583907 -2526.32 5060.64 -0.000149964
1405.25847677 158.606703731 -2.16154852705 8.74059390317 -2309.84 4627.68 -6.64757e-06
1611.08066933 160.337729811 -2.25638304448 8.80023561128 -2712.15 5432.3 -1.69828e-05
1656.32061794 158.846497347 -2.35143161795 8.57439014958 -2378.93 4765.86 -9.33206e-05
1585.4189618 157.589899953 -2.13706321157 9.03183654387 -2661.34 5330.68 -2.1394e-05
1687.11316798 158.954788368 -2.31547413201 9.0739296831 -2628.94 5265.88 -1.28121e-06
1907.91612876 160.89938495 -2.5261411059 8.8801127147 -2877.92 5763.84 -4.13089e-05
1466.99262825 161.090314808 -2.36662137346 8.60847592473 -2337.44 4682.88 -8.31311e-06
1476.1742174 160.458397776 -2.30663938119 9.04078178721 -2596.75 5201.5 -4.23766e-06
1839.99018934 158.45270674 -2.32224741917 9.71088977907 -2726.54 5461.08 -6.91066e-06
1873.3023084 161.044097847 -2.49340917416 9.06091785687 -2887.73 5783.46 -1.2015e-05
1778.81420989 157.688970326 -2.26875142087 9.31516159574 -2759.27 5526.54 -0.000143158
1780.48189777 159.807763299 -2.4151085142 9.46292638744 -2719.93 5447.86 -3.4776e-05
1446.09739524 160.953044077 -2.40778044021 8.68315839317 -2390.13 4788.26 -8.87205e-06
1703.79025031 161.376997574 -2.47947812532 8.41945733505 -2575.75 5159.5 -1.81711e-05
1679.8237944 160.40901962 -2.57225134417 9.48732414226 -2297.88 4603.76 -1.60127e-05
1690.69480594 161.355867428 -2.53152945243 9.5066458019 -2612.11 5232.22 -0.000291207
1826.17640956 160.885465615 -2.65726836498 7.96763388205 -2226.18 4460.36 -2.52886e-05
1524.67554968 160.292414002 -2.38727512335 9.74347209892 -2419.08 4846.16 -5.39826e-05
1753.31795616 160.124377406 -2.47857520757 9.00822940788 -2579.19 5166.38 -8.06741e-06
